AT,SR,RH,WV,AP
8.82,5.729,94.20,0.00,693.10
8.64,83.568,96.29,0.00,693.10
8.57,228.607,96.74,0.00,693.30
8.53,509.2,96.35,0.00,693.68
8.90,353.189,90.96,0.00,694.29
9.34,704.469,90.04,0.00,694.93
10.74,560.529,85.92,0.00,695.26
12.37,460.858,78.25,0.00,695.28
12.11,254.86,77.98,0.00,695.16
14.55,267.38,65.51,0.00,694.70
14.21,158.846,63.96,0.00,694.18
9.48,0,83.42,0.00,694.19
8.57,9.278,91.21,0.00,693.86
8.45,89.63,93.03,0.00,693.85
8.44,348.463,88.89,0.00,693.90
8.62,487.256,85.37,0.00,694.29
8.15,511.58,88.78,0.00,694.94
8.37,708.947,90.62,0.00,695.53
11.33,694.412,80.49,0.00,695.99
12.51,476.293,77.25,0.00,695.96
13.21,389.942,73.80,0.00,695.77
14.25,291.552,68.86,0.00,695.36
14.95,156.055,63.86,0.00,694.90
9.30,0,80.11,0.00,694.92
8.92,4.258,82.05,0.00,694.45
8.87,47.672,82.97,0.00,694.19
9.46,155.896,78.86,0.00,694.28
9.66,196.047,77.98,0.00,694.84
9.45,316.376,80.21,0.00,695.72
10.02,411.707,77.57,0.00,696.24
10.92,238.018,77.01,0.00,696.52
11.73,363.893,73.28,0.00,696.59
12.75,454.447,68.90,0.00,696.40
13.57,231.496,65.41,0.00,695.88
13.22,135.874,66.38,0.00,695.38
9.37,0,82.50,0.00,694.89
9.11,19.227,76.71,0.00,694.54
8.21,109.7,78.34,0.00,694.36
6.48,215.706,85.93,0.00,694.60
6.23,395.131,88.00,0.00,695.08
7.72,402.879,84.74,0.00,695.66
11.09,259.351,71.65,0.00,696.38
11.31,203.739,73.17,0.00,696.89
12.99,186.911,64.45,0.00,696.61
13.89,123.336,62.27,0.00,696.29
13.71,153.241,65.35,0.00,695.69
13.85,142.74,63.73,0.00,695.04
8.90,0,90.86,0.00,694.69
8.66,5.394,94.64,0.00,694.29
8.25,60.812,97.14,0.00,694.21
8.27,174.348,97.72,0.00,694.44
8.26,307.73,97.67,0.00,694.80
8.27,585.901,97.59,0.00,695.29
9.01,156.639,95.12,0.00,695.95
11.22,130.179,79.02,0.00,696.39
12.09,159.229,77.54,0.00,696.43
14.37,129.677,66.26,0.00,695.99
12.83,108.524,71.17,0.00,695.64
13.09,138.138,66.76,0.00,695.16
5.49,0,88.64,0.00,695.36
6.32,16.582,89.64,0.00,694.88
7.03,105.951,87.12,0.00,694.52
7.20,500.633,87.61,0.00,694.50
7.19,671.86,89.77,0.00,694.79
5.91,735.417,94.43,0.00,695.12
8.06,549.778,88.16,0.00,695.72
11.47,488.222,74.69,0.00,696.26
13.29,534.752,67.10,0.00,696.34
14.33,365.487,62.28,0.00,696.28
15.52,367.982,54.69,0.00,695.67
16.10,100.198,52.70,0.00,695.21
6.95,0,89.08,0.00,695.41
5.38,6.697,90.76,0.00,694.87
4.21,58.919,91.36,0.00,694.66
3.90,174.528,90.69,0.00,694.62
5.10,288.472,90.14,0.00,695.21
6.18,477.871,90.93,0.00,695.75
8.52,906.979,83.26,0.00,696.70
9.08,474.534,83.44,0.00,697.41
11.67,191.61,68.81,0.00,697.63
12.99,371.541,65.04,0.00,697.55
16.07,447.347,52.95,0.00,696.75
16.16,146.377,53.53,0.00,696.07
5.82,0.003,85.43,0.00,695.75
4.99,16.978,87.17,0.00,695.61
6.48,121.956,85.97,0.00,695.48
7.16,459.505,85.68,0.00,695.58
7.58,450.868,86.35,0.00,695.80
7.74,368.569,87.00,0.00,695.78
9.31,636.371,84.23,0.00,696.39
12.19,510.11,73.29,0.00,696.84
13.67,507.699,66.85,0.00,696.99
14.23,720.18,62.74,0.00,696.89
15.75,383.655,55.62,0.00,696.29
16.87,93.612,46.76,0.00,695.65
8.00,0,95.66,0.00,695.98
8.12,3.635,94.77,0.00,695.59
8.16,76.409,93.24,0.00,695.14
7.90,291.83,94.95,0.00,695.17
8.00,624.794,94.55,0.00,695.44
8.12,738.745,94.54,0.00,695.79
8.80,911.727,92.61,0.00,696.39
10.47,979.437,85.07,0.00,696.92
13.16,401.901,71.83,0.00,697.03
15.09,247.049,62.09,0.00,696.77
16.58,78.581,57.59,0.00,696.18
18.03,52.455,51.01,0.00,695.16
7.52,0,86.53,0.00,695.39
7.83,2.772,85.85,0.00,694.70
7.62,27.075,87.15,0.00,694.69
7.53,161.878,87.83,0.00,694.90
7.87,345.793,88.84,0.00,695.02
7.84,236.217,86.81,0.00,695.47
8.25,192.582,90.92,0.00,696.25
9.31,394.286,88.96,0.00,696.63
10.85,280.302,83.09,0.00,696.72
10.90,251.766,84.48,0.00,696.86
10.36,80.82,88.55,0.00,696.69
10.85,53.239,85.39,0.00,696.23
7.40,0,95.08,0.00,695.48
7.23,11.868,94.37,0.00,694.93
7.57,94.184,93.13,0.00,694.76
7.85,105.367,92.22,0.00,694.76
7.95,468.403,93.39,0.00,694.86
8.11,413.594,92.65,0.00,695.21
9.21,440.184,89.52,0.00,695.75
9.89,393.564,82.14,0.00,696.17
12.35,273.224,75.19,0.00,696.30
13.65,294.907,69.98,0.00,696.01
13.57,330.095,73.56,0.00,695.67
14.04,64.639,66.64,0.00,695.12
8.84,0,94.94,0.00,694.46
8.77,9.102,94.64,0.00,693.80
8.70,37.293,97.24,0.00,693.79
8.51,147.051,98.06,0.00,693.71
8.36,471.846,98.24,0.00,693.81
8.17,389.922,98.40,0.00,694.11
8.43,414.429,98.29,0.00,694.79
9.61,407.777,90.68,0.00,695.26
11.86,445.223,78.76,0.00,695.40
12.80,272.504,75.30,0.00,695.22
13.43,252.077,73.39,0.00,695.01
13.99,147.449,70.50,0.00,694.41
9.34,0,91.20,0.00,694.54
9.20,1.931,92.59,0.00,693.94
8.76,60.061,97.48,0.00,693.72
8.47,206.286,98.35,0.00,693.73
8.30,298.53,98.53,0.00,694.06
8.42,342.491,98.51,0.00,694.53
8.73,310.534,98.17,0.00,695.11
9.84,198.981,91.21,0.00,695.71
11.14,211.081,82.56,0.00,695.81
12.49,387.537,75.58,0.00,695.56
13.44,225.915,70.91,0.00,695.31
12.92,167.079,73.84,0.00,694.80
6.93,0.008,95.87,0.00,695.07
6.81,3.916,94.75,0.00,694.67
7.41,61.633,94.74,0.00,694.47
7.70,281.318,96.33,0.00,694.61
7.80,349.528,96.54,0.00,695.06
7.22,394.031,95.53,0.00,695.71
7.34,241.981,93.34,0.00,696.50
9.00,212.726,81.67,0.00,696.88
10.00,87.533,80.23,0.00,697.16
10.63,178.466,81.27,0.00,697.04
11.27,386.963,74.34,0.00,696.64
11.93,141.341,74.44,0.00,696.04
6.99,0,92.81,0.00,695.18
7.39,4.312,91.08,0.00,694.77
6.75,27.965,92.96,0.00,694.57
6.85,103.659,92.47,0.00,694.81
7.10,113.566,91.30,0.00,695.17
7.46,122.14,91.28,0.00,695.56
8.05,245.682,89.41,0.00,696.15
8.73,333.292,90.20,0.00,696.81
8.90,206.506,94.39,0.00,697.10
8.85,251.806,95.33,0.00,697.14
9.83,352.537,86.70,0.00,696.89
10.41,181.851,85.50,0.00,696.43
8.79,0.001,96.49,0.00,695.13
8.74,3.781,96.73,0.00,694.60
8.53,57.687,98.07,0.00,694.33
8.48,143.605,98.31,0.00,694.39
8.43,320.035,98.21,0.00,694.82
8.30,342.487,98.48,0.00,695.22
8.60,702.44,98.41,0.00,695.69
9.50,743.835,93.92,0.00,696.22
10.69,490.488,88.24,0.00,696.50
11.53,424.83,80.87,0.00,696.48
13.80,66.53,69.69,0.00,696.00
14.79,82.782,69.60,0.00,695.17
6.90,0,94.73,0.00,694.27
6.25,5.324,93.62,0.00,693.77
6.52,48.869,92.04,0.00,693.43
6.67,215.553,91.52,0.00,693.52
7.41,252.658,90.30,0.00,693.83
7.65,114.512,91.78,0.00,694.19
8.36,200.707,90.09,0.00,694.90
10.08,130.989,85.04,0.00,695.36
11.34,91.697,79.98,0.00,695.45
10.79,294.378,79.69,0.00,695.40
11.40,212.106,79.56,0.00,694.98
12.14,178.029,72.95,0.00,694.37
8.42,0.004,91.99,0.00,694.12
8.50,15.859,89.80,0.00,693.67
7.20,92.273,91.53,0.00,693.19
6.41,251.909,95.42,0.00,693.25
5.52,371.202,97.04,0.00,693.84
5.45,256.327,94.36,0.00,694.41
7.38,485.215,87.43,0.00,694.91
10.04,484.401,79.43,0.00,695.29
12.04,737.411,72.69,0.00,695.33
12.38,513.503,70.53,0.00,695.34
14.53,271.121,61.84,0.00,694.68
14.71,107.149,64.30,0.00,694.11
7.19,0,86.92,0.00,694.87
7.62,5.487,87.26,0.00,694.22
7.73,86.776,88.49,0.00,693.99
6.95,269.481,90.90,0.00,693.98
5.71,440.419,96.33,0.00,694.53
6.29,373.824,98.61,0.00,694.98
7.67,261.039,90.84,0.00,695.32
10.57,512.174,80.00,0.00,695.55
13.33,1012.999,71.21,0.00,695.56
14.08,523.086,67.44,0.00,695.33
13.83,322.365,68.50,0.00,695.04
14.82,208.993,68.06,0.00,694.58
8.82,0,97.32,0.00,694.36
8.41,5.357,97.62,0.00,693.64
8.18,75.645,97.28,0.00,693.48
8.36,385.8,96.73,0.00,693.67
8.55,490.177,96.67,0.00,694.04
8.31,501.515,97.12,0.00,694.55
9.67,354.59,89.49,0.00,694.97
12.04,440.407,73.48,0.00,695.25
12.16,139.321,76.23,0.00,695.59
13.91,592.985,64.06,0.00,695.27
14.52,381.465,64.22,0.00,694.69
14.25,164.927,68.16,0.00,694.23
8.63,0,90.10,0.00,694.01
8.66,6.968,89.47,0.00,693.47
8.08,71.066,92.37,0.00,692.87
7.09,178.635,94.79,0.00,692.92
7.34,318.538,95.06,0.00,693.44
7.47,541.426,97.03,0.00,693.75
7.81,291.061,94.23,0.00,694.15
9.23,381.085,91.47,0.00,694.73
10.63,281.955,82.62,0.00,694.90
12.82,165.638,75.63,0.00,694.63
12.27,183.758,80.23,0.00,694.44
12.78,166.678,78.61,0.00,694.08
8.27,0,94.66,0.00,694.15
8.47,4.774,95.31,0.00,693.61
7.89,59.86,95.16,0.00,693.18
8.02,172.507,95.37,0.00,693.17
8.84,303.898,90.06,0.00,693.37
9.40,379.563,84.47,0.00,693.65
8.87,423.728,92.01,0.00,694.15
9.81,266.963,88.92,0.00,694.75
11.60,255.569,79.09,0.00,695.04
12.37,455.895,78.53,0.00,695.10
12.98,408.888,76.82,0.00,694.81
12.58,174.193,78.93,0.00,694.52
9.00,0,95.48,0.00,694.53
8.64,3.841,96.71,0.00,693.89
8.70,53.043,97.00,0.00,693.83
8.48,446.656,98.08,0.00,693.96
8.40,558.039,97.74,0.00,694.24
8.52,470.767,95.24,0.00,694.59
9.03,963.462,93.07,0.00,695.04
11.23,776.725,81.00,0.00,695.53
12.78,512.498,74.99,0.00,695.62
13.12,346.637,73.99,0.00,695.52
14.78,345.187,63.02,0.00,695.31
15.30,181.543,61.17,0.00,694.81
8.83,0,92.59,0.00,694.55
8.44,10.047,95.45,0.00,694.17
8.01,89.644,97.56,0.00,693.94
7.99,132.805,98.22,0.00,694.01
7.99,225.913,97.17,0.00,694.15
8.04,398.907,96.88,0.00,694.53
9.06,519.013,93.37,0.00,695.08
10.09,640.783,87.82,0.00,695.72
11.52,523.687,80.81,0.00,695.83
12.97,586.921,74.44,0.00,695.64
13.89,332.899,71.11,0.00,695.22
14.62,172.083,61.55,0.00,695.04
7.07,0,89.70,0.00,694.83
6.62,8.193,92.59,0.00,694.31
6.92,127.119,91.19,0.00,694.08
6.47,284.735,95.23,0.00,694.02
7.06,522.154,92.17,0.00,694.31
6.22,377.774,94.84,0.00,694.74
8.65,467.38,89.01,0.00,695.39
10.64,310.669,81.00,0.00,696.01
13.02,156.022,71.07,0.00,696.09
12.18,299.36,76.56,0.00,696.21
13.51,332.697,66.83,0.00,695.93
12.38,195.18,67.57,0.00,695.74
7.81,0,93.60,0.00,695.35
8.49,4.96,88.40,0.00,694.84
9.19,65.479,83.08,0.00,694.56
9.07,166.213,80.76,0.00,694.37
8.75,405.753,84.48,0.00,694.53
8.88,237.376,86.01,0.00,694.89
9.74,292.388,82.72,0.00,695.42
10.69,558.505,80.43,0.00,696.14
12.57,734.808,70.25,0.00,696.37
12.26,576.168,71.04,0.00,696.42
12.70,322.707,69.62,0.00,696.22
14.23,202.066,62.53,0.00,695.52
7.68,0,98.02,0.00,694.62
7.64,9.462,98.45,0.00,694.08
7.65,93.511,98.31,0.00,693.67
6.56,283,97.14,0.00,693.63
6.55,411.559,98.14,0.00,693.98
6.61,428.813,97.37,0.00,694.18
8.11,567.688,93.40,0.00,694.63
10.28,547.547,84.17,0.00,695.19
12.12,755.867,76.82,0.00,695.39
13.38,355.418,71.21,0.00,695.28
14.91,457.515,66.58,0.00,694.90
15.06,159.345,65.57,0.00,694.37
9.79,0,83.11,0.00,694.56
9.59,14.173,83.68,0.00,694.16
9.07,72.933,86.35,0.00,693.94
9.38,306.6,81.95,0.00,693.88
8.89,450.145,87.51,0.00,694.24
9.29,534.277,83.12,0.00,694.70
10.44,291.37,81.64,0.00,695.15
10.28,350.539,85.02,0.00,695.92
13.44,567.39,66.20,0.00,696.04
14.30,433.547,63.62,0.00,695.99
14.24,489.806,62.08,0.00,695.56
14.87,120.138,58.50,0.00,695.11
7.30,0,86.74,0.00,695.17
8.19,18.752,85.85,0.00,694.58
7.85,74.808,89.47,0.00,694.32
7.86,523.506,89.36,0.00,694.33
6.14,604.295,93.21,0.00,694.61
4.87,428.636,92.33,0.00,695.10
7.47,970.469,82.89,0.00,695.69
11.76,941.28,69.34,0.00,696.26
13.83,943.451,62.03,0.00,696.24
15.25,232.161,55.78,0.00,695.94
17.21,117.234,51.07,0.00,695.49
18.67,56.757,44.86,0.00,694.75
8.70,0,87.44,0.00,694.89
8.95,2.138,86.19,0.00,694.21
8.95,66.432,88.06,0.00,693.86
8.69,161.584,90.46,0.00,693.89
8.53,239.008,92.19,0.00,694.09
8.63,486.517,95.14,0.00,694.63
9.28,482.036,93.90,0.00,695.25
10.38,575.496,88.22,0.00,695.78
11.04,561.596,82.64,0.00,696.17
13.03,65.722,72.18,0.00,696.11
14.86,110.643,62.45,0.00,695.63
16.26,159.747,56.10,0.00,694.92
8.72,0,91.93,0.00,694.94
8.11,3.569,92.39,0.00,694.43
8.29,57.472,91.16,0.00,694.26
8.43,165.536,91.22,0.00,694.15
8.36,201.982,93.56,0.00,694.46
8.08,388.906,95.64,0.00,694.98
8.47,1111.166,95.32,0.00,695.74
9.52,1254.759,89.56,0.00,696.45
10.68,186.975,83.72,0.00,696.67
11.84,240.118,75.70,0.00,696.49
15.07,183.862,63.99,0.00,695.81
16.49,210.814,60.97,0.00,694.95
7.50,0,91.17,0.00,695.15
7.43,5.228,92.28,0.00,694.69
6.91,107.023,93.94,0.00,694.52
7.24,253.711,93.48,0.00,694.58
7.25,298.978,92.84,0.00,694.82
7.60,449.461,90.52,0.00,695.07
8.92,521.158,85.11,0.00,695.63
10.81,537.36,79.77,0.00,696.02
11.64,575.075,77.33,0.00,696.34
13.63,633.222,67.79,0.00,696.06
14.89,710.912,63.08,0.00,695.52
16.17,203.958,58.55,0.00,694.89
7.31,0,91.02,0.00,694.43
7.89,5.696,91.15,0.00,693.91
8.33,73.76,89.96,0.00,693.70
8.11,172.181,90.84,0.00,693.74
7.41,437.956,92.12,0.00,694.01
6.90,517.017,91.77,0.00,694.29
8.58,618.151,85.18,0.00,694.79
10.63,555.932,80.31,0.00,695.40
12.92,536.392,66.57,0.00,695.72
14.20,733.656,65.40,0.00,695.52
15.49,467.698,60.63,0.00,694.96
15.88,246.937,62.03,0.00,694.44
9.87,0,84.20,0.00,694.84
9.05,3.281,87.52,0.00,694.61
8.84,43.635,88.66,0.00,694.37
8.76,123.123,93.26,0.00,694.46
8.83,225.154,95.05,0.00,694.74
8.73,471.442,95.86,0.00,695.16
9.11,604.953,94.40,0.00,695.80
9.86,453.618,90.11,0.00,696.45
11.69,273.593,75.41,0.00,696.77
13.44,337.638,71.00,0.00,696.59
14.92,285.429,63.08,0.00,696.08
15.24,224.671,60.17,0.00,695.53
9.78,0,83.85,0.00,695.46
9.47,6.483,81.80,0.00,694.97
8.72,108.699,87.56,0.00,694.63
8.05,224.76,97.23,0.00,694.90
7.98,355.561,95.82,0.00,695.16
7.42,487.872,96.46,0.00,695.47
7.60,752.479,98.36,0.00,696.00
9.67,712.221,91.93,0.00,696.81
12.39,673.738,72.94,0.00,696.98
14.15,422.374,68.00,0.00,696.82
15.40,181.852,64.50,0.00,696.50
16.23,174.69,61.25,0.00,695.97
9.51,0,91.14,0.00,695.63
8.57,8.758,94.03,0.00,695.06
8.66,153.411,93.84,0.00,694.77
9.15,147.013,91.87,0.00,694.79
8.57,202.811,92.93,0.00,695.13
7.81,570.233,93.44,0.00,695.37
9.71,810.516,88.55,0.00,695.85
9.67,455.159,91.51,0.00,696.77
11.38,535.795,81.07,0.00,697.06
14.22,584,69.62,0.00,696.91
15.76,370.818,62.64,0.00,696.46
15.93,143.697,57.95,0.00,695.90
10.60,0,86.77,0.00,695.48
10.57,4.431,85.23,0.00,694.98
10.49,54.926,85.07,0.00,694.81
10.10,124.987,87.63,0.00,694.80
9.68,251.196,92.56,0.00,695.28
9.93,522.842,84.79,0.00,695.84
10.73,289.163,78.96,0.00,696.27
11.63,238.517,76.03,0.00,696.72
12.19,379.001,77.29,0.00,697.01
14.14,224.605,69.20,0.00,696.80
13.68,668.183,68.58,0.00,696.72
14.43,199.364,63.49,0.00,696.20
9.04,0.001,91.52,0.00,696.10
8.83,3.889,93.03,0.00,695.41
8.45,48.531,95.98,0.00,695.13
8.17,266.506,98.01,0.00,695.13
8.21,298.408,98.35,0.00,695.42
8.06,424.798,97.09,0.00,695.68
7.88,294.045,96.09,0.00,696.05
10.18,178.475,86.63,0.00,696.48
11.72,302.142,76.39,0.00,697.11
13.26,135.287,69.23,0.00,697.06
13.49,178.636,67.88,0.00,696.56
12.30,238.991,79.58,0.00,696.10
7.93,0.001,91.13,0.00,695.57
7.58,3.408,92.93,0.00,694.89
6.95,69.475,93.81,0.00,694.37
6.59,324.894,94.15,0.00,694.25
7.07,683.664,97.39,0.00,694.60
7.30,752.955,96.63,0.00,694.98
8.15,699.068,93.09,0.00,695.69
11.00,785.915,79.24,0.00,696.21
13.00,988.66,72.98,0.00,696.36
13.72,852.746,71.35,0.00,696.51
14.95,730.99,62.89,0.00,696.17
15.90,188.2,57.73,0.00,695.58
5.33,0,87.19,0.00,695.26
5.22,11.084,94.99,0.00,694.96
6.69,136.494,91.31,0.00,694.61
6.56,384.972,92.54,0.00,694.52
5.87,654.67,93.73,0.00,694.66
5.35,690.477,95.21,0.00,695.34
7.00,835.613,92.37,0.00,695.75
10.54,585.733,80.41,0.00,696.22
13.16,588.318,68.32,0.00,696.42
14.93,524.418,60.30,0.00,696.26
16.98,635.003,49.90,0.00,695.60
16.84,189.013,46.03,0.00,695.06
6.94,0,76.52,0.00,695.66
5.99,7.82,79.72,0.00,695.21
5.22,79.34,82.48,0.00,695.20
4.61,435.923,84.11,0.00,695.25
4.25,753.727,84.47,0.00,695.60
4.34,853.567,84.12,0.00,695.86
5.78,747.983,81.88,0.00,696.19
10.07,1132.32,71.18,0.00,696.80
14.36,934.691,57.23,0.00,696.82
16.31,751.99,53.41,0.00,696.45
17.49,744.48,51.62,0.00,695.94
19.21,174.019,46.04,0.00,695.15
8.85,0,96.20,0.00,695.44
8.84,9.171,94.26,0.00,694.94
9.28,131.198,94.21,0.00,694.50
9.26,462.236,92.48,0.00,694.47
7.97,694.448,94.76,0.00,694.76
6.98,890.806,94.09,0.00,695.14
8.49,518.708,88.25,0.00,695.70
12.83,937.315,72.88,0.00,695.90
15.32,1131.753,61.30,0.00,695.96
17.17,449.831,54.37,0.00,695.54
17.96,345.464,49.48,0.00,694.93
18.47,260.471,49.02,0.00,694.30
8.23,0,64.96,0.00,695.02
7.94,5.978,68.73,0.00,694.23
7.29,101.06,65.63,0.00,693.84
6.99,392.764,68.44,0.00,694.20
6.55,759.038,76.33,0.00,694.40
7.07,899.966,77.89,0.00,694.61
7.10,851.465,77.35,0.00,694.89
10.64,1225.043,60.54,0.00,695.40
14.34,786.866,42.13,0.00,695.56
16.58,967.781,37.36,0.00,695.24
18.88,712.642,35.18,0.00,694.58
20.52,171.618,28.57,0.00,694.14
4.31,0,75.20,0.00,694.79
4.18,7.95,76.03,0.00,694.65
3.19,101.56,75.46,0.00,694.23
3.25,360.726,72.52,0.00,694.29
2.57,744.142,74.91,0.00,694.70
3.01,930.245,72.11,0.00,694.82
4.52,847.417,69.67,0.00,694.97
9.01,1111.552,56.82,0.00,695.17
13.46,1107.654,42.84,0.00,694.98
15.77,970.8,39.02,0.00,694.77
17.62,779.954,33.42,0.00,694.15
19.43,220.888,29.45,0.00,693.25
9.94,0,88.70,0.00,694.99
9.60,3.333,91.86,0.00,694.54
9.35,76.362,93.43,0.00,694.15
8.99,188.146,94.28,0.00,694.03
8.88,478.772,96.24,0.00,694.26
8.81,702.55,95.18,0.00,694.70
9.39,651.883,90.80,0.00,695.19
10.35,811.584,84.62,0.00,695.68
12.31,1216.801,73.06,0.00,695.70
14.21,949.295,64.89,0.00,695.53
15.50,689.681,59.16,0.00,695.02
17.19,85.9,48.75,0.00,694.18
8.07,0,89.41,0.00,694.68
8.00,3.033,91.01,0.00,694.38
8.28,116.27,85.79,0.00,694.17
8.23,569.206,89.49,0.00,694.31
8.11,502.413,93.15,0.00,694.66
7.88,892.698,95.78,0.00,695.20
8.43,836.026,93.10,0.00,695.60
12.13,788.914,70.90,0.00,695.84
13.14,751.234,65.20,0.00,695.99
14.81,938.833,60.53,0.00,695.71
16.06,91.171,57.21,0.00,695.11
17.02,75.036,52.84,0.00,694.28
8.75,0,94.39,0.00,694.49
8.79,6.271,93.17,0.00,694.07
8.64,40.745,91.38,0.00,693.84
7.98,244.317,96.34,0.00,693.79
6.26,467.215,95.33,0.00,693.74
5.02,289.632,91.92,0.00,694.28
6.68,298.843,89.36,0.00,695.04
9.94,558.253,79.40,0.00,695.57
12.41,877.321,65.44,0.00,695.62
13.31,557.209,58.20,0.00,695.34
13.96,488.75,58.98,0.00,695.00
15.78,106.074,55.10,0.00,694.38
8.41,0,96.14,0.00,694.54
8.20,2.684,98.08,0.00,694.06
8.11,97.041,96.14,0.00,693.81
8.08,234.293,91.97,0.00,693.77
7.60,335.127,93.57,0.00,693.90
6.79,477.838,95.61,0.00,694.38
7.90,563.568,94.35,0.00,695.10
10.17,463.292,83.20,0.00,695.42
11.03,369.463,82.05,0.00,695.84
13.11,431.427,70.42,0.00,695.74
14.91,306.159,63.95,0.00,695.15
16.19,214.272,58.65,0.00,694.47
9.18,0,89.61,0.00,694.90
9.03,2.056,90.86,0.00,694.37
9.00,49.346,92.15,0.00,694.05
9.02,194.789,92.85,0.00,694.01
8.93,634.323,96.84,0.00,694.27
8.83,645.035,96.47,0.00,694.70
9.24,527.78,93.30,0.00,695.30
11.12,604.131,78.56,0.00,695.70
12.66,416.127,74.85,0.00,695.82
14.35,511.197,65.13,0.00,695.48
15.40,541.577,62.39,0.00,695.19
15.98,306.234,59.02,0.00,694.65
7.89,0,86.92,0.00,694.90
8.43,3.86,85.94,0.00,694.33
8.48,55.72,88.07,0.00,694.06
7.98,232.345,96.12,0.00,694.13
8.20,555.323,94.77,0.00,694.50
8.30,741.116,94.24,0.00,694.94
8.84,279.962,93.22,0.00,695.57
10.30,306.65,85.10,0.00,696.26
12.30,507.021,74.50,0.00,696.36
14.73,606.676,63.17,0.00,695.94
14.09,602.607,63.85,0.00,695.66
14.70,279.754,60.03,0.00,695.00
9.52,0,78.86,0.00,695.10
8.72,6.396,83.85,0.00,694.56
8.15,93.971,89.31,0.00,694.24
7.90,136.401,91.74,0.00,694.16
7.10,209.626,95.75,0.00,694.58
7.35,174.261,95.49,0.00,695.03
8.68,385.671,90.21,0.00,695.61
